no,provno,provinsi,x,y
1,11,ACEH,96.77964,4.1328
2,12,SUMATERA UTARA,98.89779,2.01164
3,13,SUMATERA BARAT,100.35595,-1.20255
4,14,RIAU,101.86376,0.70558
5,15,JAMBI,102.76654,-1.72505
6,16,SUMATERA SELATAN,104.14949,-3.24476
7,17,BENGKULU,102.36482,-3.72412
8,18,LAMPUNG,104.95572,-4.93184
9,19,KEPULAUAN BANGKA BELITUNG,106.76705,-2.45465
10,21,KEPULAUAN RIAU,105.81575,1.616
11,31,DKI JAKARTA,106.75618,-5.98894
12,32,JAWA BARAT,107.60569,-6.89477
13,33,JAWA TENGAH,110.16212,-7.1141
14,34,DAERAH ISTIMEWA YOGYAKARTA,110.43231,-7.88395
15,35,JAWA TIMUR,113.159,-7.31706
16,36,BANTEN,106.02436,-6.43418
17,51,BALI,115.10201,-8.41265
18,52,NUSA TENGGARA BARAT,117.54294,-8.60077
19,53,NUSA TENGGARA TIMUR,122.12085,-9.39774
20,61,KALIMANTAN BARAT,111.28791,-0.28887
21,62,KALIMANTAN TENGAH,113.35784,-1.49343
22,63,KALIMANTAN SELATAN,115.4467,-3.02105
23,64,KALIMANTAN TIMUR,116.44342,0.28798
24,65,KALIMANTAN UTARA,116.25184,2.81048
25,71,SULAWESI UTARA,124.83073,2.09574
26,72,SULAWESI TENGAH,121.50826,-1.06833
27,73,SULAWESI SELATAN,119.80022,-4.27967
28,74,SULAWESI TENGGARA,122.40528,-4.31044
29,75,GORONTALO,122.36641,0.68012
30,76,SULAWESI BARAT,118.90827,-2.33504
31,81,MALUKU,130.07774,-4.79887
32,82,MALUKU UTARA,127.25508,0.14724
33,91,PAPUA BARAT,132.62541,-1.93755
34,94,PAPUA,138.17524,-4.37838
