PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
33,01,3301,CILACAP,72.45,72.55,72.65,72.75,72.8,73,73.11,10.56,10.71,11.34,11.98,12.27,12.28,12.29,6.26,6.27,6.28,6.43,6.48,6.58,6.9,8520,8801,8969,9071,9091,9351,9677,64.18,64.73,65.72,66.8,67.25,67.77,68.6
33,02,3302,BANYUMAS,72.67,72.74,72.82,72.89,72.92,73.12,73.23,11.69,11.78,11.95,12.11,12.56,12.57,12.58,6.82,6.94,7.06,7.18,7.31,7.31,7.39,8970,9241,9447,9561,9580,10104,10554,66.87,67.45,68.06,68.55,69.25,69.89,70.49
33,03,3303,PURBALINGGA,72.56,72.63,72.69,72.76,72.8,72.81,72.86,10.71,10.84,10.98,11.1,11.51,11.78,11.93,6.22,6.33,6.44,6.68,6.84,6.85,6.86,7930,8228,8450,8535,8539,8938,9159,63.61,64.33,64.94,65.53,66.23,67.03,67.48
33,04,3304,BANJARNEGARA,73.09,73.17,73.25,73.34,73.39,73.59,73.69,9.72,9.9,10.22,10.53,10.7,11.39,11.4,5.84,5.84,5.85,5.86,5.9,6.17,6.26,6931,7362,7570,7654,7684,7930,8400,60.7,61.58,62.29,62.84,63.15,64.73,65.52
33,05,3305,KEBUMEN,72.24,72.36,72.49,72.61,72.67,72.77,72.87,11.04,11.65,11.74,11.83,12.07,12.49,12.61,6.21,6.29,6.3,6.39,6.75,7.04,7.05,7368,7457,7638,7730,7755,8008,8276,63.08,64.05,64.47,64.86,65.67,66.87,67.41
33,06,3306,PURWOREJO,73.45,73.56,73.66,73.77,73.83,74.03,74.14,12.26,12.69,12.74,12.83,13.03,13.04,13.05,7.39,7.45,7.51,7.57,7.63,7.65,7.66,8619,8921,9022,9155,9189,9305,9497,68.16,69.11,69.4,69.77,70.12,70.37,70.66
33,07,3307,WONOSOBO,70.37,70.5,70.63,70.76,70.82,71.02,71.16,9.96,10.09,10.83,11.03,11.34,11.43,11.67,5.81,5.87,5.9,5.92,6.07,6.11,6.12,9032,9275,9404,9458,9491,9736,9877,62.5,63.07,64.18,64.57,65.2,65.7,66.19
33,08,3308,MAGELANG,73,73.07,73.14,73.21,73.25,73.27,73.33,10.82,10.96,11.08,11.76,12,12.14,12.15,6.46,6.73,6.8,6.88,7.02,7.19,7.4,7233,7458,7690,7856,7877,8182,8501,63.28,64.16,64.75,65.86,66.35,67.13,67.85
33,09,3309,BOYOLALI,75.41,75.46,75.52,75.58,75.61,75.63,75.67,11.11,11.15,11.24,11.33,11.65,12.13,12.14,6.5,6.53,6.55,6.61,6.69,7.1,7.17,10840,11147,11381,11490,11504,11806,12192,68.76,69.14,69.51,69.81,70.34,71.74,72.18
33,10,3310,KLATEN,76.37,76.42,76.47,76.52,76.54,76.55,76.59,11.89,11.97,12.12,12.27,12.74,12.84,12.85,7.33,7.35,7.43,7.74,7.92,8.16,8.22,10333,10593,10858,10962,10965,11178,11227,70.76,71.16,71.71,72.42,73.19,73.81,73.97
33,11,3311,SUKOHARJO,77.37,77.4,77.42,77.44,77.45,77.46,77.46,12.43,12.55,12.61,12.66,12.96,13.42,13.79,7.66,7.94,8.09,8.25,8.41,8.5,8.58,9639,9922,10112,10247,10264,10416,10452,71.53,72.34,72.81,73.22,73.76,74.53,75.06
33,12,3312,WONOGIRI,75.58,75.65,75.72,75.8,75.84,75.86,75.88,11.15,11.31,11.47,11.77,11.94,12.42,12.43,5.58,5.66,6.03,6.12,6.23,6.39,6.57,7557,7928,8133,8235,8249,8417,8589,63.9,64.75,65.75,66.4,66.77,67.76,68.23
33,13,3313,KARANGANYAR,76.61,76.64,76.67,76.7,76.71,77.11,77.11,12.03,12.11,12.67,12.86,13.26,13.27,13.64,7.26,7.46,7.8,8.38,8.47,8.48,8.49,9712,10023,10191,10286,10313,10486,10722,70.31,71,72.26,73.33,73.89,74.26,74.9
33,14,3314,SRAGEN,75.05,75.13,75.2,75.27,75.31,75.41,75.43,11.16,11.21,11.68,11.92,12.19,12.21,12.3,6.24,6.26,6.28,6.69,6.85,6.86,6.87,10164,10509,10698,10857,10876,11434,11688,67.67,68.12,68.91,69.95,70.52,71.1,71.43
33,15,3315,GROBOGAN,73.8,73.87,73.95,74.03,74.07,74.27,74.37,10.44,10.79,11.3,12.06,12.24,12.25,12.26,6.13,6.18,6.23,6.25,6.32,6.33,6.62,8674,8961,9208,9284,9303,9457,9487,64.56,65.41,66.39,67.43,67.77,68.05,68.52
33,16,3316,BLORA,73.51,73.6,73.7,73.79,73.84,73.85,73.88,10.75,10.79,11.16,11.53,11.75,11.91,11.92,5.48,5.77,5.83,5.9,6.02,6.04,6.18,7966,8246,8448,8540,8568,8699,8846,63.02,63.88,64.7,65.37,65.84,66.22,66.61
33,17,3317,REMBANG,73.97,74.03,74.09,74.16,74.19,74.22,74.27,10.6,10.81,11.02,11.24,11.46,12.02,12.03,6.15,6.28,6.41,6.7,6.9,6.92,6.93,8389,8705,8882,8994,9013,9122,9453,64.53,65.36,66.03,66.84,67.4,68.18,68.6
33,18,3318,PATI,75.23,75.29,75.34,75.4,75.43,75.63,75.69,10.63,10.77,10.9,10.93,11.24,11.79,11.92,6.08,6.11,6.15,6.27,6.35,6.71,6.83,8541,8828,8997,9088,9106,9380,9548,65.13,65.71,66.13,66.47,66.99,68.51,69.03
33,19,3319,KUDUS,76.33,76.35,76.37,76.39,76.4,76.41,76.43,11.18,11.47,11.71,12.34,12.58,13.14,13.19,7.45,7.48,7.6,7.73,7.83,7.84,7.85,9477,9747,9964,10082,10102,10203,10348,69.22,69.89,70.57,71.58,72,72.72,72.94
33,20,3320,JEPARA,75.58,75.59,75.61,75.63,75.64,75.65,75.67,11.34,11.58,11.82,12.06,12.25,12.27,12.28,6.52,6.72,6.96,7.09,7.29,7.31,7.32,8550,8821,8999,9177,9195,9504,9695,66.76,67.63,68.45,69.11,69.61,70.02,70.25
33,21,3321,DEMAK,75.05,75.09,75.12,75.16,75.18,75.21,75.27,10.98,11.12,11.37,11.62,11.84,12.43,12.44,6.56,6.75,6.88,7.22,7.44,7.45,7.46,8421,8728,8924,8983,9003,9118,9377,66.02,66.84,67.55,68.38,68.95,69.75,70.1
33,22,3322,SEMARANG,75.4,75.42,75.45,75.48,75.5,75.52,75.54,11.81,12.11,12.33,12.55,12.81,12.82,12.83,7.12,7.2,7.24,7.28,7.31,7.33,7.48,9930,10231,10459,10562,10586,10778,11102,69.58,70.35,70.88,71.29,71.65,71.89,72.4
33,23,3323,TEMANGGUNG,75.17,75.22,75.26,75.31,75.34,75.35,75.39,10.24,10.7,11.05,11.39,11.69,11.89,12.06,5.99,6.03,6.08,6.13,6.18,6.52,6.55,7438,7751,7952,8042,8062,8369,8593,63.08,64.14,64.91,65.52,65.97,67.07,67.6
33,24,3324,KENDAL,73.92,73.98,74.05,74.11,74.14,74.15,74.2,11.17,11.32,11.47,11.6,11.83,12.41,12.68,6.11,6.24,6.36,6.42,6.53,6.64,6.65,9358,9701,9910,10080,10126,10419,10631,66.23,66.96,67.55,67.98,68.46,69.57,70.11
