PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
61,01,6101,SAMBAS,67.4,67.5,67.58,67.69,67.74,67.94,68.05,10.69,10.77,10.99,11.22,11.46,11.7,11.92,5.11,5.23,5.35,5.48,5.8,6.13,6.42,7858,8242,8673,9083,9153,9195,9311,59.81,60.57,61.53,62.47,63.28,64.14,64.94
61,02,6102,BENGKAYANG,72.88,72.89,72.89,72.89,72.89,72.99,73.01,10.8,10.82,10.84,10.89,11.11,11.14,11.6,5.82,5.84,5.86,5.96,5.97,5.98,6.08,7351,7634,7956,8249,8363,8489,8588,62.5,62.94,63.42,63.99,64.4,64.65,65.45
61,03,6103,LANDAK,71.94,71.95,71.97,71.97,71.97,72.07,72.1,10.98,11.21,11.46,11.5,12,12.03,12.35,6.09,6.72,6.85,6.99,7.05,7.06,7.07,5936,6053,6201,6272,6417,6670,6737,60.36,61.67,62.38,62.72,63.59,64.12,64.58
61,04,6104,MEMPAWAH,70.18,70.21,70.25,70.27,70.28,70.28,70.3,10.33,10.39,10.45,11.48,11.75,11.91,12.29,5.62,5.77,6.13,6.15,6.33,6.45,6.46,6611,6722,6863,6962,7063,7238,7270,59.48,59.95,60.75,62.09,62.78,63.37,63.84
61,05,6105,SANGGAU,70.21,70.23,70.25,70.27,70.28,70.58,70.67,9.85,10.02,10.2,10.38,10.6,10.67,11.05,6.16,6.24,6.31,6.35,6.37,6.74,6.92,7183,7241,7326,7368,7411,7622,7729,60.57,60.96,61.39,61.72,62.06,63.05,63.9
61,06,6106,KETAPANG,70.49,70.5,70.51,70.51,70.51,70.51,70.52,9.64,9.83,10.02,10.61,10.9,10.95,11.34,5.47,5.87,6.09,6.17,6.22,6.56,6.68,8107,8120,8133,8146,8159,8350,8430,60.63,61.47,62.04,62.85,63.27,64.03,64.74
61,07,6107,SINTANG,70.91,70.93,70.95,70.95,70.95,71.05,71.08,9.78,9.86,9.99,10.3,10.25,10.84,11.27,5.45,5.79,6.04,6.26,6.63,6.7,6.71,7302,7520,7771,8020,8098,8224,8302,59.91,60.8,61.66,62.64,63.19,64.18,64.78
61,08,6108,KAPUAS HULU,71.91,71.92,71.92,71.93,71.94,71.94,71.94,10.52,10.98,11.43,11.73,11.8,11.83,11.84,5.9,6.13,6.36,6.6,6.65,7,7.01,6072,6163,6283,6361,6440,6640,6691,59.84,60.83,61.85,62.63,62.9,63.73,63.83
61,09,6109,SEKADAU,70.68,70.72,70.75,70.78,70.8,70.9,70.94,10.29,10.3,10.31,10.84,11.12,11.23,11.34,5.7,5.85,6,6.16,6.54,6.55,6.56,6411,6470,6557,6601,6689,6795,6820,59.42,59.76,60.14,61.02,61.98,62.34,62.52
61,10,6110,MELAWI,72.36,72.37,72.38,72.38,72.38,72.38,72.39,10.15,10.15,10.16,10.46,10.65,10.78,11.05,5.46,5.53,5.67,5.81,6,6.42,6.52,7290,7398,7535,7631,7727,7841,7858,60.91,61.18,61.58,62.27,62.89,63.78,64.25
61,11,6111,KAYONG UTARA,67,67.02,67.03,67.03,67.03,67.33,67.39,10.55,10.56,10.57,10.58,10.89,11.74,11.75,4.36,4.53,5.07,5.14,5.19,5.37,5.84,6076,6376,6479,6661,6769,6950,7030,55.83,56.58,57.53,57.92,58.52,60.09,60.87
61,12,6112,KUBU RAYA,69.6,69.62,69.64,69.64,69.64,69.74,69.77,11.61,11.8,11.98,12.14,12.34,12.55,12.84,5.85,5.87,6.01,6.16,6.41,6.56,6.57,7168,7488,7821,7935,7973,7994,8145,61.87,62.56,63.42,63.94,64.52,65.02,65.54
61,71,6171,PONTIANAK,71.96,71.98,71.99,72,72.01,72.11,72.14,13.43,13.48,13.53,13.58,13.84,14.48,14.49,8.82,8.87,9.12,9.36,9.62,9.77,9.78,13232,13350,13496,13601,13706,13737,13838,74.87,75.08,75.55,75.98,76.63,77.52,77.63
61,72,6172,SINGKAWANG,70.81,70.82,70.82,70.83,70.84,71.04,71.08,10.86,11.02,11.89,12.34,12.8,12.84,12.85,7.03,7.06,7.08,7.14,7.26,7.28,7.29,10864,10871,10878,10886,10950,10982,11006,67.27,67.5,68.54,69.13,69.84,70.03,70.1
