PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
63,01,6301,TANAH LAUT,67.96,68.04,68.12,68.19,68.22,68.62,68.76,10.07,10.35,10.36,10.83,11.09,11.25,11.5,6.8,6.87,7.07,7.26,7.27,7.29,7.3,9557,9896,10426,10562,10632,10753,10862,63.56,64.35,65.16,66.11,66.5,66.99,67.44
63,02,6302,KOTA BARU,67.95,68.01,68.07,68.12,68.14,68.49,68.61,10.36,10.76,10.84,10.91,11.11,11.41,11.66,6.25,6.26,6.52,6.76,6.8,6.99,7.02,10094,10231,10355,10465,10536,10645,10777,63.64,64.27,64.87,65.41,65.76,66.61,67.1
63,03,6303,BANJAR,64.94,65.05,65.17,65.27,65.32,65.97,66.17,10.34,10.46,10.57,10.72,10.99,11.16,11.41,6.86,6.89,6.93,6.96,6.96,6.99,7,11753,11844,11921,11984,12004,12185,12311,64.46,64.75,65.04,65.36,65.71,66.39,66.87
63,04,6304,BARITO KUALA,63.97,64.13,64.28,64.42,64.49,64.94,65.14,10.99,11.14,11.22,11.31,11.54,11.72,11.92,5.69,5.92,6.24,6.42,6.47,6.81,7.06,8540,8656,8758,8846,8936,9062,9226,60.24,60.93,61.62,62.12,62.56,63.53,64.33
63,05,6305,TAPIN,68.73,68.82,68.9,68.98,69.02,69.47,69.62,10.32,10.53,10.74,10.95,11.17,11.21,11.24,6.62,6.73,6.84,6.99,7.17,7.43,7.44,10563,10665,10752,10825,10839,10905,11237,64.89,65.41,65.92,66.48,66.99,67.67,68.05
63,06,6306,HULU SUNGAI SELATAN,62.94,63.16,63.36,63.55,63.64,64.14,65.38,10.42,10.72,11.04,11.35,11.68,11.83,12.02,7.04,7.05,7.05,7.05,7.21,7.67,7.68,10464,10696,10867,11006,11077,11161,11623,62.8,63.44,64.03,64.59,65.25,66.31,67.52
63,07,6307,HULU SUNGAI TENGAH,63.66,63.87,64.06,64.24,64.33,64.83,65.06,10.95,11.09,11.23,11.25,11.42,11.94,12,6.87,6.87,6.9,6.94,7.27,7.52,7.53,10456,10634,10802,10960,11040,11142,11527,63.49,63.9,64.34,64.63,65.37,66.56,67.07
63,08,6308,HULU SUNGAI UTARA,61.35,61.57,61.79,61.99,62.09,62.49,62.71,10.65,11.08,11.52,11.75,12.1,12.78,12.81,6.23,6.27,6.44,6.61,6.63,6.73,7,7782,7891,7986,8067,8164,8298,8668,58.5,59.24,60.12,60.77,61.32,62.49,63.38
63,09,6309,TABALONG,69.19,69.25,69.31,69.36,69.39,69.74,69.84,10.94,11.34,11.8,11.9,11.96,12.32,12.46,7.43,7.5,7.57,7.92,7.95,8.24,8.32,9469,9632,9781,9918,10088,10171,10620,65.87,66.6,67.36,68.08,68.36,69.35,70.07
63,10,6310,TANAH BUMBU,68.55,68.66,68.76,68.81,68.84,69.19,69.19,10.37,10.73,10.84,10.95,11.2,11.42,11.53,6.69,6.77,7.04,7.21,7.26,7.38,7.66,10602,10611,10619,10628,10697,10781,11006,64.98,65.59,66.13,66.51,66.94,67.58,68.28
63,11,6311,BALANGAN,66.36,66.45,66.55,66.62,66.65,66.95,67.07,10.35,10.49,10.63,10.85,11.03,11.48,11.77,5.95,6.08,6.21,6.23,6.36,6.46,6.71,10541,10556,10571,10586,10617,10736,10953,62.88,63.28,63.69,64.03,64.44,65.34,66.25
63,71,6371,BANJARMASIN,69.77,69.85,69.92,69.99,70.02,70.32,70.44,11.89,12.54,13.18,13.58,13.73,13.76,13.79,8.51,8.68,9.23,9.79,9.88,9.9,9.91,12179,12265,12336,12393,12501,12834,13417,71.01,72.01,73.45,74.59,74.94,75.41,75.94
63,72,6372,BANJAR BARU,71.03,71.04,71.05,71.06,71.06,71.36,71.43,14.19,14.43,14.55,14.67,14.73,14.75,14.77,9.92,10.28,10.48,10.69,10.74,10.75,10.76,11953,12074,12180,12273,12376,12467,12879,75.49,76.23,76.67,77.1,77.3,77.56,77.96
