PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
62,01,6201,KOTAWARINGIN BARAT,69.41,69.51,69.6,69.68,69.77,70.07,70.21,11.27,11.28,11.29,11.9,12.12,12.13,12.42,7.48,7.48,7.49,7.58,7.82,8.01,8.05,11707,11757,11807,11857,11908,11979,12101,68.43,68.53,68.63,69.51,70.14,70.6,71.13
62,02,6202,KOTAWARINGIN TIMUR,69.05,69.15,69.24,69.32,69.41,69.51,69.6,10.47,10.47,10.89,11.82,12.04,12.05,12.21,7.29,7.39,7.48,7.59,7.69,7.7,7.88,9623,9802,10170,10343,10430,10525,10922,65.24,65.6,66.61,67.95,68.45,68.61,69.42
62,03,6203,KAPUAS,67.94,68.04,68.13,68.21,68.3,68.4,68.49,10.4,10.58,10.76,10.95,11.14,11.64,11.92,6.75,6.79,6.82,6.84,6.94,6.94,7.09,9022,9388,9479,9633,9726,9894,10287,63.32,64.01,64.38,64.82,65.29,66.07,66.98
62,04,6204,BARITO SELATAN,65.74,65.83,65.92,65.99,66.08,66.48,66.63,10.61,10.79,10.96,11.01,11.14,11.99,12.3,7.71,7.8,8.01,8.16,8.27,8.59,8.6,9669,9927,10101,10283,10374,10570,10938,64.51,65.1,65.76,66.2,66.61,68.27,69
62,05,6205,BARITO UTARA,70.54,70.64,70.73,70.81,70.91,71.01,71.26,10.97,10.99,11,11.01,11.15,11.5,11.96,7.43,7.55,7.74,7.97,8,8.33,8.34,7333,7519,7564,7614,8326,8534,8774,63.87,64.36,64.72,65.12,66.3,67.38,68.28
62,06,6206,SUKAMARA,70.82,70.92,71.02,71.1,71.19,71.24,71.32,10.56,10.59,10.69,10.79,11.09,11.55,11.97,6.62,6.67,7.04,7.21,7.3,7.81,7.82,7293,7498,7522,7545,7568,7709,7792,62.41,62.86,63.52,63.92,64.44,65.8,66.4
62,07,6207,LAMANDAU,68.71,68.81,68.9,68.98,69.07,69.12,69.2,10.99,11.17,11.34,11.75,11.8,12.43,12.44,6.92,7.21,7.38,7.55,7.67,7.68,7.79,9750,9794,9837,9881,9925,9999,10049,65.32,65.99,66.49,67.23,67.53,68.3,68.54
62,08,6208,SERUYAN,68.23,68.32,68.41,68.49,68.58,68.88,69.22,10.32,10.44,10.57,10.7,11.08,11.56,11.61,6.66,6.76,6.76,6.9,7.03,7.45,7.49,7649,7832,7873,7919,7958,8026,8331,61.6,62.16,62.39,62.81,63.49,64.77,65.4
62,09,6209,KATINGAN,64.64,64.73,64.82,64.89,64.98,65.28,65.4,10.58,10.98,11.14,11.4,11.69,12.03,12.19,7.66,8.13,8.15,8.17,8.23,8.62,8.63,9040,9269,9357,9452,9542,9599,9969,63.25,64.54,64.87,65.29,65.79,66.81,67.41
62,10,6210,PULANG PISAU,67.09,67.19,67.27,67.35,67.44,67.64,67.75,11.37,11.41,11.44,11.48,11.63,12.16,12.32,7.18,7.2,7.29,7.55,7.58,7.59,7.66,8308,8461,8479,8537,8556,8639,9017,63.76,64.06,64.28,64.76,65,65.76,66.49
62,11,6211,GUNUNG MAS,69.23,69.33,69.42,69.5,69.59,69.89,70.02,10.57,10.6,10.62,10.65,10.82,11.44,11.74,8.57,8.57,8.65,8.73,8.74,8.93,8.94,8885,9281,9544,9823,9965,10044,10155,66.33,66.85,67.3,67.75,68.13,69.24,69.73
62,12,6212,BARITO TIMUR,67.06,67.16,67.24,67.32,67.41,67.71,67.84,10.88,11.08,11.27,11.77,11.98,12.31,12.79,8.31,8.43,8.75,8.98,9.01,9.02,9.03,10267,10422,10436,10450,10465,10570,10631,66.76,67.31,67.97,68.82,69.12,69.71,70.33
62,13,6213,MURUNG RAYA,68.75,68.85,68.94,69.02,69.11,69.21,69.3,9.64,10.42,10.73,11.33,11.68,11.69,11.71,7.06,7.09,7.12,7.15,7.18,7.36,7.37,8987,9200,9223,9245,9268,9328,9742,63.18,64.39,64.85,65.62,66.1,66.46,66.96
62,71,6271,PALANGKA RAYA,72.57,72.68,72.77,72.85,72.95,72.97,73.05,14.19,14.25,14.31,14.58,14.89,14.9,14.91,10.13,10.27,10.48,10.69,10.73,10.74,11.02,12009,12230,12311,12397,12521,12629,12899,76.53,76.98,77.4,78.02,78.5,78.62,79.21
