PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
18,01,1801,LAMPUNG BARAT,65.32,65.45,65.58,65.69,66.02,66.42,66.64,10.53,11.04,11.17,11.31,11.36,11.74,12.17,6.68,6.85,7.03,7.21,7.25,7.27,7.28,7913,8045,8169,8397,8459,8801,9106,60.93,61.92,62.51,63.21,63.54,64.54,65.45
18,02,1802,TANGGAMUS,66.46,66.58,66.69,66.79,67.12,67.42,67.61,10.7,10.86,11.03,11.29,11.49,11.92,11.93,6.16,6.19,6.27,6.35,6.63,6.86,6.87,7274,7466,7599,7835,7880,7961,8483,60.09,60.63,61.14,61.89,62.67,63.66,64.41
18,03,1803,LAMPUNG SELATAN,67.55,67.64,67.73,67.8,68.12,68.32,68.49,10.86,10.89,10.92,10.95,10.98,11.65,11.68,6.36,6.55,6.72,6.89,7.01,7.24,7.53,7321,7730,8076,8384,8441,8746,9189,61.07,61.95,62.68,63.35,63.75,65.22,66.19
18,04,1804,LAMPUNG TIMUR,68.78,68.86,68.94,69.01,69.33,69.73,69.92,10.95,11.3,11.78,12.26,12.38,12.4,12.41,6.76,6.87,7.01,7.15,7.16,7.2,7.55,8086,8328,8542,8756,8814,9194,9416,63.23,64.1,65.1,66.07,66.42,67.1,67.88
18,05,1805,LAMPUNG TENGAH,68.34,68.43,68.51,68.59,68.91,69.01,69.15,10.48,10.69,11.27,11.89,12.16,12.2,12.21,6.82,6.92,7.03,7.04,7.06,7.14,7.37,9468,9612,9671,9895,9935,10298,10674,64.14,64.71,65.6,66.57,67.07,67.61,68.33
18,06,1806,LAMPUNG UTARA,67.32,67.45,67.57,67.68,68.02,68.12,68.3,11.38,11.38,11.39,12.04,12.38,12.41,12.42,7.01,7.41,7.42,7.42,7.69,7.7,7.71,6950,7142,7276,7513,7567,7729,8212,61.82,62.67,62.93,64,64.89,65.2,65.95
18,07,1807,WAY KANAN,67.64,67.73,67.81,67.89,68.21,68.41,68.58,10.49,10.78,11.32,11.85,11.96,11.98,12.31,6.25,6.4,6.41,6.68,6.76,7.32,7.33,7871,8023,8114,8243,8278,8313,8411,61.27,62.04,62.79,63.92,64.32,65.18,65.74
18,08,1808,TULANGBAWANG,68.48,68.54,68.59,68.64,68.94,69.14,69.28,10.26,10.34,10.42,10.76,11.11,11.15,11.55,6.49,6.58,6.71,6.84,7.1,7.11,7.12,9188,9393,9539,9751,9796,9893,10034,63.21,63.67,64.11,64.91,65.83,66.08,66.74
18,09,1809,PESAWARAN,66.74,66.84,66.93,67.01,67.33,67.83,68.05,10.8,11.05,11.16,11.28,11.44,12.08,12.25,6.74,6.75,6.77,6.99,7.21,7.23,7.24,5791,6050,6255,6570,6680,6744,7055,58.64,59.44,59.98,60.94,61.7,62.7,63.47
18,10,1810,PRINGSEWU,,67.5,67.6,67.69,68.01,68.61,68.88,,11.83,11.98,12.27,12.47,12.75,12.76,,7.39,7.45,7.51,7.53,7.83,7.84,,8433,8630,8934,8992,9020,9533,,64.86,65.37,66.14,66.58,67.55,68.26
18,11,1811,MESUJI,,66.44,66.57,66.7,67.05,67.15,67.32,,10.06,10.15,10.25,10.34,10.78,11.2,,5.62,5.63,5.65,5.8,6.12,6.13,,6402,6503,6706,6764,6836,7099,,57.32,57.67,58.16,58.71,59.79,60.72
18,12,1812,TULANG BAWANG BARAT,,68.5,68.58,68.66,68.98,69.08,69.21,,10.52,10.81,11.01,11.29,11.49,11.97,,6.35,6.42,6.48,6.81,6.82,6.83,,6687,6814,7045,7137,7332,7450,,60.13,60.77,61.46,62.46,63.01,63.77
18,13,1813,PESISIR BARAT,,,,61.37,61.74,62.04,62.29,,,,10.62,11.12,11.53,11.85,,,,7.35,7.36,7.47,7.48,,,,7085,7169,7251,7616,,,,58.95,59.76,60.55,61.5
18,71,1871,BANDAR LAMPUNG,70.21,70.23,70.24,70.26,70.55,70.65,70.75,12.2,12.6,13.05,13.22,13.31,13.35,13.67,9.56,9.95,10.16,10.77,10.85,10.87,10.88,10209,10282,10429,10618,10702,11090,11266,71.11,72.04,72.88,73.93,74.34,74.81,75.34
18,72,1872,METRO,70.59,70.62,70.65,70.68,70.98,70.98,71.05,12.74,13.08,13.47,13.85,14.25,14.26,14.27,9.4,9.74,9.75,10.47,10.54,10.55,10.56,9953,10061,10281,10494,10606,10707,11007,71.37,72.23,72.86,74.27,74.98,75.1,75.45
18,88,1888,DANAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
