PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
82,01,8201,HALMAHERA BARAT,64.85,64.86,64.87,64.87,65.15,65.35,65.45,11.89,11.9,11.91,11.92,12.15,12.61,13.05,7.08,7.2,7.36,7.55,7.71,7.77,7.86,5911,6244,6356,6668,6697,6889,7076,59.56,60.33,60.71,61.47,62.06,62.97,63.83
82,02,8202,HALMAHERA TENGAH,61.41,61.57,61.73,61.86,62.2,62.4,62.6,11.92,11.95,11.98,12.01,12.27,12.29,12.7,7.04,7.2,7.28,7.69,7.74,7.85,8.14,6162,6537,6790,7044,7130,7359,7481,58.42,59.34,59.94,60.89,61.49,62.07,63.05
82,03,8203,KEPULAUAN SULA,61.87,61.92,61.95,61.99,62.29,62.39,62.5,11,11.17,11.34,11.51,11.69,11.83,12.23,6.92,7.01,7.42,7.86,7.91,7.95,7.96,5859,6210,6318,6467,6491,6545,6741,57.06,57.98,58.83,59.77,60.18,60.5,61.25
82,04,8204,HALMAHERA SELATAN,64.61,64.64,64.65,64.65,64.93,65.03,65.11,10.55,10.67,11.15,11.18,11.32,11.91,12.31,6.87,6.91,6.95,6.99,7.03,7.15,7.42,6109,6369,6433,6637,6704,6791,6894,58.22,58.86,59.5,59.92,60.34,61.26,62.17
82,05,8205,HALMAHERA UTARA,68.35,68.37,68.38,68.39,68.67,68.77,68.86,11.09,11.57,11.84,12.18,12.29,12.69,13.06,7.72,7.82,7.92,7.97,7.98,8.06,8.35,6135,6266,6401,6675,6746,6957,7110,61.46,62.31,62.94,63.81,64.18,65.04,66.02
82,06,8206,HALMAHERA TIMUR,66.59,66.7,66.79,66.87,67.19,67.49,67.67,10.7,10.97,11.23,11.71,12.06,12.09,12.48,6.76,6.92,7.02,7.33,7.34,7.57,7.77,6682,6804,7139,7193,7212,7410,7560,60.06,60.77,61.73,62.71,63.26,63.99,64.92
82,07,8207,PULAU MOROTAI,,65.3,65.39,65.46,65.78,65.98,66.13,,10.48,10.63,10.77,10.92,11.59,11.92,,6.58,6.7,6.81,6.84,6.84,6.88,,5352,5452,5693,5720,5809,5888,,56.63,57.16,57.97,58.34,59.27,59.87
82,08,8208,PULAU TALIABU,,,,60.67,60.98,61.08,61.2,,,,10.76,10.96,11.48,11.73,,,,7.39,7.4,7.41,7.42,,,,5877,5935,6158,6208,,,,56.86,57.31,58.26,58.66
82,71,8271,TERNATE,69.56,69.6,69.64,69.67,69.97,70.07,70.17,13.96,14.13,14.31,14.48,14.66,15.05,15.06,10.3,10.53,10.58,11.06,11.11,11.12,11.13,11817,12075,12139,12343,12454,12529,12643,74.86,75.52,75.81,76.69,77.15,77.64,77.8
82,72,8272,TIDORE KEPULAUAN,67.93,67.98,68.01,68.04,68.33,68.43,68.54,12.38,12.55,12.73,12.91,13.09,13.27,13.74,8.21,8.27,8.44,8.61,8.72,8.91,9.11,6919,6962,7111,7401,7454,7631,7772,64.48,64.8,65.42,66.25,66.76,67.45,68.37
