PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
11,01,1101,SIMEULUE,64.05,64.15,64.22,64.23,64.24,64.66,64.78,12.45,12.66,12.67,12.67,12.75,12.83,13.07,8.17,8.26,8.34,8.55,8.89,8.9,8.91,5728,5781,5824,5920,5956,6328,6542,60.6,61.03,61.25,61.68,62.18,63.16,63.82
11,02,1102,ACEH SINGKIL,66.71,66.76,66.85,66.91,66.94,66.97,67.02,12.41,12.84,13.49,13.85,14.05,14.26,14.27,6.65,6.86,7.16,7.33,7.48,7.5,7.69,7081,7123,7165,7208,7221,7602,8068,62.36,63.13,64.23,64.87,65.27,66.05,66.96
11,03,1103,ACEH SELATAN,62.92,63.03,63.12,63.16,63.18,63.61,63.75,12.35,12.51,12.57,13.01,13.05,13.24,13.53,7.5,7.53,7.56,7.59,7.6,7.79,8.02,6855,6890,6913,6989,7003,7224,7397,61.22,61.52,61.69,62.27,62.35,63.28,64.13
11,04,1104,ACEH TENGGARA,66.85,66.93,66.96,67.03,67.07,67.4,67.51,12.43,12.66,13.18,13.54,13.59,13.62,13.96,8.38,8.45,8.57,8.58,8.77,9.32,9.33,6663,6731,6788,6899,6949,7001,7212,63.82,64.27,64.99,65.55,65.9,66.77,67.48
11,05,1105,ACEH TIMUR,67.92,67.97,68.02,68.05,68.06,68.2,68.26,11.54,11.61,11.69,11.76,11.83,12.23,12.55,7.04,7.09,7.13,7.28,7.38,7.4,7.6,6614,6897,7178,7219,7288,7623,7825,61.75,62.35,62.93,63.27,63.57,64.55,65.42
11,06,1106,ACEH TENGAH,68.22,68.27,68.3,68.35,68.38,68.44,68.48,12.76,13.49,13.55,13.76,14.11,14.21,14.23,9.07,9.13,9.19,9.25,9.31,9.65,9.66,9295,9330,9365,9400,9435,9473,9920,69.17,70,70.18,70.51,70.96,71.51,72.04
11,07,1107,ACEH BARAT,67.16,67.21,67.25,67.3,67.33,67.49,67.56,14.02,14.27,14.29,14.32,14.35,14.55,14.56,7.64,7.71,7.77,7.83,8.17,8.47,8.7,7576,7632,7688,7744,7771,8135,8559,66.05,66.47,66.66,66.86,67.31,68.41,69.26
11,08,1108,ACEH BESAR,69.34,69.38,69.41,69.44,69.46,69.47,69.49,13.9,13.91,13.91,14.21,14.35,14.47,14.48,9.43,9.44,9.45,9.46,9.61,9.91,9.92,8138,8246,8344,8497,8622,8775,8788,69.76,69.94,70.1,70.61,71.06,71.7,71.75
11,09,1109,PIDIE,66.14,66.2,66.25,66.27,66.28,66.46,66.52,12.97,13.07,13.21,13.36,13.5,13.61,13.93,7.94,7.96,8.08,8.15,8.25,8.74,8.75,9032,9076,9121,9167,9182,9233,9273,66.75,66.95,67.3,67.59,67.87,68.68,69.06
11,10,1110,BIREUEN,70.27,70.3,70.32,70.34,70.35,70.64,70.72,13.66,13.83,14.03,14.22,14.25,14.41,14.42,8.34,8.45,8.5,8.58,8.85,9.14,9.15,6644,6822,6996,7232,7319,7622,7885,66.42,67.03,67.57,68.23,68.71,69.77,70.21
