PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
52,01,5201,LOMBOK BARAT,63.41,63.73,64.04,64.36,64.5,65.1,65.44,11.45,11.87,11.9,11.93,12.09,12.66,12.8,4.72,4.98,5.15,5.38,5.63,5.69,5.93,10010,10029,10250,10450,10470,10588,10924,60.61,61.64,62.24,62.91,63.52,64.62,65.55
52,02,5202,LOMBOK TENGAH,63.42,63.72,64,64.3,64.45,64.75,65.01,11.54,11.56,11.82,12.08,12.36,12.81,12.83,4.55,4.96,5.2,5.36,5.52,5.54,5.6,8464,8530,8567,8605,8652,8846,9079,58.97,59.77,60.57,61.25,61.88,62.74,63.22
52,03,5203,LOMBOK TIMUR,63.03,63.32,63.61,63.9,64.04,64.44,64.73,11.82,12.04,12.47,12.77,13.1,13.12,13.3,5.14,5.61,5.78,5.94,6.06,6.15,6.26,7575,7580,7652,7685,7750,8100,8449,58.86,59.84,60.73,61.43,62.07,62.83,63.7
52,04,5204,SUMBAWA,64.63,64.96,65.25,65.58,65.72,66.02,66.3,11.62,11.67,11.76,11.86,11.94,12.27,12.68,6.84,7.1,7.14,7.19,7.31,7.52,7.53,7138,7177,7299,7422,7519,7743,8070,60.93,61.5,61.96,62.44,62.88,63.91,64.89
52,05,5205,DOMPU,64.03,64.33,64.62,64.92,65.06,65.36,65.62,12.26,12.45,12.64,12.96,13.16,13.27,13.28,7,7.06,7.35,7.4,7.45,7.83,8.1,7102,7106,7169,7204,7239,7479,7819,61.44,61.84,62.6,63.16,63.53,64.56,65.48
52,06,5206,BIMA,63.53,63.82,64.1,64.42,64.56,64.86,65.13,11.72,11.77,11.81,12.45,12.7,13.11,13.25,6.55,6.74,6.93,7.12,7.29,7.36,7.45,7144,7157,7171,7184,7198,7371,7585,60.19,60.62,61.05,62.08,62.61,63.48,64.15
52,07,5207,SUMBAWA BARAT,64.8,65.1,65.39,65.69,65.85,66.35,66.66,13.06,13.12,13.18,13.2,13.21,13.57,13.58,6.75,6.94,7.14,7.28,7.44,7.68,8.05,9677,9744,9815,9886,9922,10234,10528,65.42,65.94,66.45,66.86,67.19,68.38,69.26
52,08,5208,LOMBOK UTARA,64.13,64.45,64.74,65.04,65.19,65.59,65.88,10.66,11.05,11.46,11.87,12.31,12.34,12.68,4.23,4.43,4.63,4.89,4.97,5.22,5.47,7083,7169,7304,7358,7594,7940,8155,56.13,57.13,58.19,59.2,60.17,61.15,62.24
52,71,5271,MATARAM,69.16,69.45,69.73,70.03,70.18,70.43,70.7,14.31,14.61,14.77,14.82,15.27,15.28,15.5,8.15,8.47,8.61,9.04,9.04,9.05,9.25,11800,12053,12380,12748,13021,13399,13733,72.47,73.5,74.22,75.22,75.93,76.37,77.2
52,72,5272,BIMA,67.99,68.29,68.58,68.88,69.03,69.12,69.35,14.22,14.44,14.65,14.7,14.92,14.95,14.96,9.12,9.14,9.3,9.46,9.58,9.96,10.13,8959,9038,9142,9270,9352,9594,9930,70.11,70.57,71.21,71.72,72.23,72.99,73.67
