PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
72,01,7201,BANGGAI KEPULAUAN,63.9,64.01,64.1,64.2,64.25,64.35,64.44,10.93,11.85,12.03,12.21,12.7,12.71,12.72,7.2,7.26,7.32,7.38,7.39,7.73,7.94,6535,6581,6745,6975,7038,7161,7286,59.42,60.54,61.09,61.74,62.33,62.97,63.45
72,02,7202,BANGGAI,69.69,69.71,69.71,69.72,69.73,69.93,69.97,11.16,11.27,11.38,11.78,12.32,12.33,12.73,6.78,7.05,7.44,7.63,7.71,7.72,7.73,8245,8287,8447,8674,8718,8895,9144,64.09,64.63,65.44,66.39,67.11,67.44,68.17
72,03,7203,MOROWALI,68.02,68.04,68.04,68.05,68.06,68.06,68.06,10.93,11.15,11.3,11.33,12.12,12.63,12.75,7.47,7.77,7.82,7.87,7.97,8.38,8.49,9350,9480,9707,9989,10059,10245,10575,65.25,66.03,66.48,66.86,67.91,69.12,69.69
72,04,7204,POSO,69.92,69.95,69.96,69.98,69.99,70.09,70.13,11.92,12.07,12.21,12.39,12.87,13.15,13.16,8,8.32,8.37,8.42,8.49,8.52,8.67,7012,7161,7430,7768,7869,7971,8345,64.81,65.59,66.2,66.94,67.65,68.13,68.83
72,05,7205,DONGGALA,65.55,65.62,65.7,65.76,65.79,65.79,65.84,10.31,10.43,11.1,12.38,12.41,12.42,12.43,7.29,7.44,7.6,7.76,7.8,7.81,7.82,6596,6645,6811,7184,7237,7407,7802,59.73,60.15,61.33,63.38,63.55,63.82,64.42
72,06,7206,TOLI-TOLI,63.54,63.61,63.69,63.73,63.75,63.95,64.03,10.6,11,11.41,11.99,12.26,12.67,12.68,7.02,7.27,7.36,7.65,7.69,7.72,7.73,6224,6335,6565,6863,6959,7156,7493,58.18,59.12,60.05,61.44,61.91,62.72,63.27
72,07,7207,BUOL,66.51,66.56,66.61,66.64,66.66,66.86,66.93,11.28,11.83,12.53,12.54,13.03,13.04,13.05,7.78,7.87,7.97,8.04,8.3,8.32,8.62,6892,6979,7067,7338,7431,7475,7740,62.21,63.03,63.98,64.5,65.41,65.61,66.37
72,08,7208,PARIGI MOUTONG,63.11,63.14,63.15,63.16,63.17,63.17,63.18,10.02,10.65,11.13,11.61,11.72,11.84,12.23,6.29,6.59,6.64,6.68,6.71,6.72,6.87,8190,8246,8421,8663,8723,9150,9351,59.17,60.36,61.13,61.98,62.2,62.79,63.6
72,09,7209,TOJO UNA-UNA,63.65,63.73,63.78,63.84,63.87,63.95,64.01,10.79,10.92,11.01,11.1,11.28,11.31,11.68,6.72,6.89,7.06,7.23,7.62,7.65,7.87,6385,6487,6709,6998,7111,7171,7361,58.33,58.87,59.55,60.32,61.15,61.33,62.27
72,10,7210,SIGI,68.53,68.58,68.62,68.65,68.66,68.66,68.69,10.37,10.74,11.11,11.48,11.82,12.3,12.31,7.49,7.68,7.87,8.07,8.11,8.13,8.21,6303,6477,6773,7140,7238,7376,7714,60.81,61.76,62.88,64.1,64.64,65.35,65.95
72,11,7211,BANGGAI LAUT,,,,63.26,63.28,63.48,63.55,,,,11.95,12,12.58,12.85,,,,7.74,7.82,7.82,7.94,,,,7243,7324,7406,7529,,,,61.86,62.12,62.9,63.49
72,12,7212,MOROWALI UTARA,,,,68.28,68.29,68.29,68.32,,,,11.27,11.65,11.69,12.02,,,,7.91,8.14,8.15,8.16,,,,8212,8309,8422,8594,,,,65.01,65.81,66,66.57
72,71,7271,PALU,69.92,69.93,69.93,69.93,69.93,69.93,69.93,14.19,14.76,14.77,14.77,15.15,15.52,15.53,10.72,10.86,11,11.14,11.17,11.24,11.25,13954,13963,14090,14283,14413,14545,14663,77.39,78.1,78.36,78.65,79.12,79.63,79.73
