PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
17,1,1701,BENGKULU SELATAN,66.95,67,67.03,67.05,67.06,67.16,67.2,12.07,12.55,12.61,12.99,13.42,13.45,13.46,8.14,8.24,8.36,8.71,8.75,8.76,8.77,8 486,8 526,8 566,8 606,8 777,8 951,9 044,65.84,66.5,66.77,67.61,68.28,68.57,68.71
17,2,1702,REJANG LEBONG,67.2,67.28,67.34,67.39,67.42,67.52,67.58,11.46,11.76,12.09,12.42,12.76,13.11,13.23,7.38,7.54,7.57,7.59,7.6,7.9,8.03,8 320,8 469,8 631,8 813,8 869,9 050,9 520,64.19,64.92,65.51,66.11,66.55,67.51,68.34
17,3,1703,BENGKULU UTARA,67.28,67.32,67.35,67.37,67.38,67.38,67.4,10.91,11.45,11.98,12.44,12.78,12.81,12.82,6.83,7.13,7.27,7.74,7.8,7.81,7.82,8 832,8 923,9 025,9 145,9 293,9 444,9 566,63.5,64.61,65.47,66.67,67.27,67.46,67.63
17,4,1704,KAUR,65.36,65.41,65.43,65.45,65.46,65.76,65.84,11.11,11.42,11.73,12.42,12.82,12.85,12.94,7.69,7.71,7.73,7.76,7.76,7.78,7.8,6 883,6 947,7 022,7 114,7 232,7 599,7 842,61.39,61.85,62.32,63.17,63.75,64.47,64.95
17,5,1705,SELUMA,66.31,66.35,66.38,66.39,66.4,66.7,66.77,10.59,11.2,11.62,12.03,12.55,12.59,12.6,7.06,7.09,7.11,7.13,7.37,7.38,7.55,6 726,6 761,6 807,6 870,6 894,7 077,7 335,60.27,61.01,61.55,62.1,62.94,63.41,64.04
17,6,1706,MUKOMUKO,65.57,65.66,65.74,65.8,65.83,65.83,65.88,10.66,11.15,11.36,11.72,12.1,12.48,12.49,6.93,7.06,7.19,7.33,7.4,7.42,7.85,9 165,9 179,9 203,9 243,9 269,9 296,9 482,62.95,63.71,64.16,64.79,65.31,65.77,66.52
17,7,1707,LEBONG,61.95,62,62.01,62.01,62.01,62.31,62.39,10.76,10.86,10.96,11.07,11.39,11.72,12.15,7.35,7.35,7.35,7.35,7.62,7.77,7.86,9 167,9 601,9 914,10 132,10 210,10 363,10 682,61.87,62.43,62.84,63.15,63.9,64.72,65.58
17,8,1708,KEPAHIANG,66.51,66.55,66.6,66.63,66.65,66.95,67.03,10.93,11.46,11.67,11.95,12.3,12.31,12.66,7.06,7.14,7.18,7.22,7.5,7.51,7.83,8 082,8 197,8 307,8 486,8 545,8 605,8 701,62.6,63.44,63.86,64.44,65.22,65.45,66.35
17,9,1709,BENGKULU TENGAH,67.57,67.6,67.61,67.61,67.61,67.61,67.63,10.95,11.51,11.79,12.07,12.35,12.54,12.95,6.36,6.48,6.65,6.81,6.86,6.88,6.89,7 710,7 749,7 799,7 865,7 885,8 163,8 425,61.7,62.54,63.12,63.71,64.1,64.68,65.44
17,71,1771,BENGKULU,69.31,69.36,69.4,69.44,69.46,69.46,69.49,14.12,14.16,14.21,14.3,14.36,14.71,15.16,10.92,11.04,11.17,11.29,11.44,11.45,11.46,11 095,11 299,11 518,11 759,11 873,12 277,12 698,74.92,75.31,75.71,76.16,76.49,77.16,77.94
