PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
15,1,1501,KERINCI,68.75,68.89,69.02,69.14,69.2,69.3,69.41,12.26,12.5,12.83,12.92,13.15,13.77,13.83,6.85,7.05,7.36,7.71,7.77,7.78,8.06,8 405,8 501,8 568,8 748,8 865,9 076,9 374,65.16,65.85,66.71,67.49,67.96,68.89,69.68
15,2,1502,MERANGIN,70.87,70.89,70.9,70.91,70.92,70.92,70.93,10.46,10.5,10.91,11.14,11.38,11.83,11.87,6.58,6.71,6.89,7,7.04,7.08,7.44,8 517,8 791,8 954,9 047,9 108,9 456,9 644,63.85,64.4,65.31,65.82,66.21,67.15,67.86
15,3,1503,SAROLANGUN,68.61,68.64,68.65,68.66,68.67,68.77,68.8,10.62,10.74,10.86,11.44,11.73,11.93,12.23,6.59,6.64,6.93,7.12,7.23,7.24,7.34,10 009,10 378,10 847,10 912,10 985,11 169,11 349,64.64,65.2,66.16,67.13,67.67,68.1,68.73
15,4,1504,BATANG HARI,69.51,69.56,69.6,69.63,69.65,69.95,70.03,11.57,11.84,12.22,12.4,12.69,12.69,12.88,7.18,7.35,7.38,7.41,7.43,7.44,7.69,8 834,8 924,9 099,9 122,9 220,9 407,9 512,65.67,66.32,66.97,67.24,67.68,68.05,68.7
15,5,1505,MUARO JAMBI,70.6,70.64,70.67,70.7,70.71,70.81,70.86,11.35,11.41,11.57,12.14,12.42,12.43,12.79,7.39,7.44,7.5,7.56,7.68,8.01,8.02,6 457,6 692,7 021,7 208,7 297,7 630,7 990,62.84,63.39,64.17,65.14,65.71,66.66,67.55
15,6,1506,TANJUNG JABUNG TIMUR,64.76,64.93,65.1,65.25,65.33,65.43,65.56,10.42,10.5,10.57,10.65,10.73,11.28,11.48,4.87,5.11,5.57,5.9,5.93,6.26,6.32,7 220,7 267,7 316,7 455,7 699,7 810,8 136,57.21,57.77,58.63,59.41,59.88,61.12,61.88
15,7,1507,TANJUNG JABUNG BARAT,67.44,67.45,67.46,67.46,67.46,67.66,67.71,10.95,11.11,11.27,11.42,11.58,11.9,12.21,6.72,6.86,7,7.24,7.28,7.37,7.43,7 244,7 345,7 736,7 881,8 105,8 478,8 872,61.49,61.98,62.86,63.54,64.04,65.03,65.91
15,8,1508,TEBO,69.63,69.64,69.65,69.65,69.65,69.66,69.66,10.65,10.94,11.36,11.44,11.7,11.97,12.36,6.58,6.87,6.98,7.27,7.48,7.53,7.54,8 581,8 681,8 811,9 001,9 145,9 434,9 745,63.62,64.45,65.23,65.91,66.63,67.29,68.05
15,9,1509,BUNGO,66.61,66.64,66.67,66.68,66.68,67.08,67.18,11.5,11.75,12,12.26,12.53,12.54,12.55,7.77,7.79,7.82,7.85,7.86,7.87,7.99,10 027,10 134,10 326,10 365,10 481,10 676,10 937,66.28,66.7,67.2,67.54,67.93,68.34,68.77
15,71,1571,JAMBI,72.25,72.27,72.29,72.3,72.31,72.31,72.32,12.81,13.17,13.19,13.2,13.62,13.8,13.81,9.62,9.86,10.3,10.55,10.62,10.63,10.65,9 718,9 805,10 073,10 192,10 355,10 891,11 436,72.23,72.96,73.78,74.21,74.86,75.58,76.14
15,72,1572,SUNGAI PENUH,71.35,71.4,71.45,71.49,71.51,71.61,71.66,13.73,13.81,13.89,14.35,14.57,14.74,14.75,8.72,8.84,8.9,8.97,9.05,9.17,9.33,8 273,8 586,8 996,9 266,9 328,9 502,9 604,69.91,70.55,71.23,72.09,72.48,73.03,73.35
