PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
35,1,3501,PACITAN,70.42,70.51,70.61,70.7,70.75,71.05,71.18,11.01,11.03,11.35,11.41,11.61,11.94,12.19,6,6.1,6.21,6.32,6.43,6.88,6.89,6 775,7 232,7 496,7 626,7 656,7 686,8 048,61.14,62.03,62.94,63.38,63.81,64.92,65.74
35,2,3502,PONOROGO,71.62,71.7,71.78,71.85,71.88,72.08,72.18,12.1,12.33,12.56,12.8,13.04,13.29,13.69,6.12,6.45,6.57,6.86,6.91,6.96,6.97,7 537,7 849,8 188,8 354,8 383,8 654,8 908,64.13,65.28,66.16,67.03,67.4,68.16,68.93
35,3,3503,TRENGGALEK,72.32,72.38,72.44,72.49,72.51,72.91,73.03,11.13,11.17,11.22,11.49,11.64,12.08,12.09,6.32,6.36,6.55,6.74,6.87,7.18,7.19,7 584,7 936,8 249,8 389,8 417,8 445,8 829,63.67,64.27,65.01,65.76,66.16,67.25,67.78
35,4,3504,TULUNGAGUNG,72.73,72.77,72.82,72.86,72.88,73.28,73.4,11.75,11.84,11.93,12.58,12.72,12.73,13.03,7.34,7.37,7.41,7.44,7.45,7.72,7.73,8 660,8 929,9 256,9 477,9 505,9 534,9 881,67.28,67.76,68.29,69.3,69.49,70.07,70.82
35,5,3505,BLITAR,72.31,72.36,72.42,72.47,72.5,72.8,72.89,11.03,11.18,11.34,11.37,11.49,11.98,12.42,6.43,6.52,6.59,6.67,6.82,7.24,7.25,8 423,8 726,9 076,9 217,9 245,9 272,9 467,64.79,65.47,66.17,66.49,66.88,68.13,68.88
35,6,3506,KEDIRI,71.87,71.92,71.97,72.02,72.04,72.14,72.2,11.37,11.54,11.57,11.85,12.01,12.15,12.57,7.03,7.06,7.08,7.24,7.41,7.41,7.58,8 791,9 102,9 449,9 605,9 633,9 883,10 140,66.24,66.84,67.29,68.01,68.44,68.91,69.87
35,7,3507,MALANG,71.62,71.67,71.72,71.76,71.78,71.98,72.05,10.71,10.78,10.87,11.02,11.25,11.98,12.28,6.34,6.35,6.51,6.59,6.66,6.73,6.98,7 980,8 300,8 633,8 788,8 817,8 845,9 018,63.47,63.97,64.71,65.2,65.59,66.63,67.51
35,8,3508,LUMAJANG,68.71,68.81,68.92,69.02,69.07,69.27,69.38,10.49,10.71,10.71,10.94,11.12,11.61,11.77,5.46,5.69,5.78,5.88,6.03,6.04,6.05,7 116,7 467,7 772,7 869,7 895,7 921,8 311,59.62,60.72,61.31,61.87,62.33,63.02,63.74
35,9,3509,JEMBER,67.44,67.54,67.65,67.75,67.8,68.2,68.37,10.87,10.99,11.11,11.87,12,12.01,12.31,5.49,5.53,5.58,5.62,5.63,5.76,6.05,7 380,7 732,8 069,8 198,8 227,8 255,8 409,59.94,60.64,61.31,62.43,62.64,63.04,64.01
35,10,3510,BANYUWANGI,69.61,69.7,69.79,69.88,69.93,70.03,70.11,11.04,11.22,11.25,11.39,11.81,12.2,12.55,6.38,6.53,6.68,6.84,6.87,6.88,6.93,9 262,9 741,10 118,10 341,10 379,10 692,11 171,64.54,65.48,66.12,66.74,67.31,68.08,69
35,11,3511,BONDOWOSO,64.94,65.08,65.22,65.36,65.43,65.73,65.89,11.27,11.72,12.42,12.76,12.85,12.86,12.87,4.97,4.97,5.31,5.48,5.52,5.53,5.54,8 064,8 418,8 856,9 138,9 176,9 519,10 007,59.47,60.46,62.24,63.21,63.43,63.95,64.52
35,12,3512,SITUBONDO,67.71,67.83,67.93,68.03,68.08,68.28,68.41,11.5,11.54,12.2,12.9,12.97,12.98,12.99,4.91,5.04,5.16,5.28,5.54,5.67,5.68,7 442,7 812,8 174,8 351,8 383,8 677,9 106,60.07,60.82,62.23,63.43,63.91,64.53,65.08
35,13,3513,PROBOLINGGO,65.35,65.47,65.58,65.69,65.75,66.15,66.31,10.37,10.4,10.91,11.32,11.6,12.04,12.05,5.11,5.13,5.16,5.61,5.64,5.66,5.67,9 004,9 359,9 721,9 847,9 877,9 976,10 170,59.83,60.3,61.33,62.61,63.04,63.83,64.12
35,14,3514,PASURUAN,69.65,69.7,69.75,69.8,69.83,69.83,69.86,10.45,10.59,10.73,11.63,11.78,11.8,11.81,5.83,5.85,5.96,6.08,6.36,6.5,6.58,7 343,7 661,8 075,8 261,8 293,8 707,9 198,60.79,61.43,62.31,63.74,64.35,65.04,65.71
35,15,3515,SIDOARJO,73.42,73.42,73.43,73.43,73.43,73.63,73.67,12.37,12.42,12.54,13.25,13.55,13.89,14.13,9.22,9.5,9.7,10.03,10.09,10.1,10.22,11 717,12 095,12 457,12 602,12 632,12 879,13 320,73.75,74.48,75.14,76.39,76.78,77.43,78.17
35,16,3516,MOJOKERTO,71.64,71.69,71.72,71.75,71.76,71.96,72.03,11.69,11.75,11.81,11.86,11.97,12.18,12.44,7.22,7.26,7.3,7.57,7.74,7.75,7.76,10 099,10 552,10 915,11 171,11 208,11 559,11 798,68.14,68.71,69.17,69.84,70.22,70.85,71.38
35,17,3517,JOMBANG,71.18,71.22,71.28,71.34,71.37,71.67,71.77,11.33,11.54,11.92,12.43,12.65,12.68,12.69,7.26,7.28,7.37,7.4,7.52,7.59,7.68,8 788,9 112,9 493,9 678,9 709,9 963,10 237,66.2,66.84,67.82,68.63,69.07,69.59,70.03
35,18,3518,NGANJUK,70.61,70.68,70.76,70.83,70.87,70.97,71.04,10.84,11.15,11.77,12.34,12.65,12.68,12.82,6.71,6.83,7,7.15,7.31,7.33,7.34,9 663,10 100,10 656,10 717,10 754,10 995,11 451,65.6,66.58,68.07,68.98,69.59,69.9,70.5
35,19,3519,MADIUN,69.38,69.49,69.59,69.7,69.76,70.36,70.55,11.59,11.65,12.06,12.53,12.79,13.1,13.11,6.13,6.43,6.74,6.74,6.89,6.99,7,9 416,9 995,10 429,10 625,10 667,10 710,10 904,64.87,65.98,67.32,68.07,68.6,69.39,69.67
35,20,3520,MAGETAN,71.62,71.71,71.79,71.87,71.91,72.01,72.09,12.4,12.42,12.54,12.57,12.77,13.6,13.71,7.12,7.23,7.33,7.43,7.55,7.65,7.66,8 961,9 635,10 375,10 484,10 539,10 594,10 988,67.58,68.52,69.56,69.86,70.29,71.39,71.94
35,21,3521,NGAWI,71.01,71.1,71.19,71.28,71.33,71.53,71.63,11.43,11.73,11.96,12.18,12.29,12.31,12.65,5.82,6.19,6.23,6.27,6.52,6.53,6.54,9 003,9 388,9 905,10 105,10 143,10 584,10 810,64.52,65.84,66.72,67.25,67.78,68.32,68.96
35,22,3522,BOJONEGORO,69.8,69.89,69.98,70.07,70.11,70.51,70.67,11.14,11.43,11.74,12.04,12.08,12.09,12.11,5.51,5.7,5.8,5.9,6.14,6.64,6.65,8 087,8 413,8 809,8 934,8 964,8 993,9 420,62.19,63.22,64.2,64.85,65.27,66.17,66.73
35,23,3523,TUBAN,70,70.07,70.15,70.22,70.25,70.55,70.67,10.47,10.91,11.02,11.13,11.42,12.07,12.17,5.58,5.61,5.82,6.14,6.18,6.2,6.25,7 898,8 332,8 706,8 872,8 906,8 940,9 353,61.33,62.47,63.36,64.14,64.58,65.52,66.19
35,24,3524,LAMONGAN,71.18,71.26,71.35,71.43,71.47,71.67,71.77,11.79,11.88,12.34,13.22,13.41,13.43,13.44,6.48,6.63,6.84,7.06,7.27,7.28,7.29,8 553,8 966,9 386,9 511,9 545,9 821,10 252,65.4,66.21,67.51,68.9,69.42,69.84,70.34
35,25,3525,GRESIK,72.15,72.16,72.18,72.19,72.2,72.3,72.33,11.89,12.23,12.63,12.85,13.17,13.19,13.69,7.93,8.26,8.41,8.41,8.42,8.93,8.94,10 491,10 926,11 360,11 480,11 514,11 548,11 961,69.9,71.11,72.12,72.47,72.84,73.57,74.46
35,26,3526,BANGKALAN,69.46,69.51,69.56,69.6,69.62,69.72,69.77,10.16,10.56,10.67,10.96,11.17,11.55,11.56,4.29,4.59,4.89,4.9,5.07,5.08,5.13,6 709,7 006,7 316,7 434,7 459,7 667,8 030,57.23,58.63,59.65,60.19,60.71,61.49,62.06
35,27,3527,SAMPANG,67.35,67.4,67.43,67.46,67.48,67.58,67.62,9.78,9.82,9.86,10.2,10.39,11.09,11.37,3.14,3.2,3.27,3.34,3.49,3.65,3.79,6 952,7 337,7 692,7 769,7 798,7 827,8 096,54.49,55.17,55.78,56.45,56.98,58.18,59.09
35,28,3528,PAMEKASAN,66.38,66.43,66.48,66.53,66.56,66.86,66.95,12.34,12.52,12.7,13.05,13.32,13.34,13.35,5.11,5.3,5.36,5.68,5.72,5.73,6.08,6 532,6 922,7 260,7 445,7 478,7 679,7 975,59.37,60.42,61.21,62.27,62.66,63.1,63.98
35,29,3529,SUMENEP,69.72,69.81,69.9,69.98,70.02,70.42,70.56,11.58,11.59,12.01,12.18,12.39,12.41,12.73,4.2,4.21,4.48,4.58,4.77,4.89,5.08,5 746,6 524,6 834,7 093,7 143,7 577,7 846,57.27,58.7,60.08,60.84,61.43,62.38,63.42
35,71,3571,KEDIRI,73.44,73.46,73.49,73.51,73.52,73.62,73.65,12.72,12.9,13.09,13.27,13.52,14.3,14.61,9.18,9.34,9.49,9.57,9.7,9.88,9.89,9 765,10 098,10 432,10 670,10 702,10 733,11 070,72.2,72.93,73.66,74.18,74.62,75.67,76.33
35,72,3572,BLITAR,72.59,72.63,72.66,72.69,72.7,73,73.09,12.13,12.28,12.29,13.15,13.51,13.53,14,9.47,9.51,9.52,9.53,9.81,9.87,9.88,10 756,11 071,11 534,11 641,11 672,12 258,12 499,72.56,73.08,73.53,74.53,75.26,76,76.71
35,73,3573,MALANG,72.17,72.21,72.25,72.28,72.3,72.6,72.68,13.41,13.71,14.01,14.16,14.47,15.23,15.38,9.38,9.52,9.67,9.82,9.97,10.13,10.14,14 754,15 015,15 287,15 378,15 399,15 420,15 732,76.69,77.36,78.04,78.44,78.96,80.05,80.46
35,74,3574,PROBOLINGGO,69.35,69.41,69.46,69.5,69.52,69.72,69.79,11.91,12.16,12.42,12.97,13.29,13.32,13.54,8.17,8.17,8.17,8.42,8.44,8.46,8.47,8 894,9 387,9 864,10 089,10 182,10 558,10 792,67.3,68.14,68.93,70.05,70.49,71.01,71.5
35,75,3575,PASURUAN,70.41,70.44,70.48,70.52,70.54,70.84,70.93,11.86,11.94,12.87,13.29,13.53,13.56,13.57,8.59,8.74,8.88,9.03,9.06,9.07,9.08,10 237,10 705,11 184,11 484,11 527,11 963,12 295,69.69,70.41,72.01,72.89,73.23,73.78,74.11
35,76,3576,MOJOKERTO,72.27,72.3,72.33,72.37,72.39,72.69,72.78,12.46,12.72,12.98,13.24,13.3,13.33,13.8,9.79,9.83,9.87,9.91,9.91,9.92,9.93,10 371,10 762,11 191,11 625,11 689,12 060,12 449,72.78,73.47,74.2,74.91,75.04,75.54,76.38
35,77,3577,MADIUN,72.23,72.27,72.33,72.38,72.41,72.41,72.44,12.42,12.44,12.56,13.33,13.64,14.06,14.19,10.32,10.5,10.68,10.86,10.9,11.08,11.09,13 455,13 799,14 317,14 604,14 643,14 723,15 300,75.98,76.48,77.21,78.41,78.81,79.48,80.01
35,78,3578,SURABAYA,73.76,73.78,73.8,73.83,73.85,73.85,73.87,12.88,12.96,13.05,13.13,13.44,13.52,13.99,9.76,9.85,9.95,10.05,10.07,10.24,10.44,14 473,14 777,15 104,15 488,15 492,15 991,16 295,77.2,77.62,78.05,78.51,78.87,79.47,80.38
35,79,3579,BATU,71.95,71.99,72.02,72.05,72.06,72.16,72.2,12.6,12.64,12.67,12.71,12.9,13.16,13.62,7.31,7.64,7.75,8.34,8.41,8.44,8.45,9 395,9 980,10 667,10 803,10 853,11 274,11 772,68.66,69.76,70.62,71.55,71.89,72.62,73.57
