PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
18,1,1801,LAMPUNG BARAT,65.32,65.45,65.58,65.69,66.02,66.42,66.64,10.53,11.04,11.17,11.31,11.36,11.74,12.17,6.68,6.85,7.03,7.21,7.25,7.27,7.28,7 913,8 045,8 169,8 397,8 459,8 801,9 106,60.93,61.92,62.51,63.21,63.54,64.54,65.45
18,2,1802,TANGGAMUS,66.46,66.58,66.69,66.79,67.12,67.42,67.61,10.7,10.86,11.03,11.29,11.49,11.92,11.93,6.16,6.19,6.27,6.35,6.63,6.86,6.87,7 274,7 466,7 599,7 835,7 880,7 961,8 483,60.09,60.63,61.14,61.89,62.67,63.66,64.41
18,3,1803,LAMPUNG SELATAN,67.55,67.64,67.73,67.8,68.12,68.32,68.49,10.86,10.89,10.92,10.95,10.98,11.65,11.68,6.36,6.55,6.72,6.89,7.01,7.24,7.53,7 321,7 730,8 076,8 384,8 441,8 746,9 189,61.07,61.95,62.68,63.35,63.75,65.22,66.19
18,4,1804,LAMPUNG TIMUR,68.78,68.86,68.94,69.01,69.33,69.73,69.92,10.95,11.3,11.78,12.26,12.38,12.4,12.41,6.76,6.87,7.01,7.15,7.16,7.2,7.55,8 086,8 328,8 542,8 756,8 814,9 194,9 416,63.23,64.1,65.1,66.07,66.42,67.1,67.88
18,5,1805,LAMPUNG TENGAH,68.34,68.43,68.51,68.59,68.91,69.01,69.15,10.48,10.69,11.27,11.89,12.16,12.2,12.21,6.82,6.92,7.03,7.04,7.06,7.14,7.37,9 468,9 612,9 671,9 895,9 935,10 298,10 674,64.14,64.71,65.6,66.57,67.07,67.61,68.33
18,6,1806,LAMPUNG UTARA,67.32,67.45,67.57,67.68,68.02,68.12,68.3,11.38,11.38,11.39,12.04,12.38,12.41,12.42,7.01,7.41,7.42,7.42,7.69,7.7,7.71,6 950,7 142,7 276,7 513,7 567,7 729,8 212,61.82,62.67,62.93,64,64.89,65.2,65.95
18,7,1807,WAY KANAN,67.64,67.73,67.81,67.89,68.21,68.41,68.58,10.49,10.78,11.32,11.85,11.96,11.98,12.31,6.25,6.4,6.41,6.68,6.76,7.32,7.33,7 871,8 023,8 114,8 243,8 278,8 313,8 411,61.27,62.04,62.79,63.92,64.32,65.18,65.74
18,8,1808,TULANGBAWANG,68.48,68.54,68.59,68.64,68.94,69.14,69.28,10.26,10.34,10.42,10.76,11.11,11.15,11.55,6.49,6.58,6.71,6.84,7.1,7.11,7.12,9 188,9 393,9 539,9 751,9 796,9 893,10 034,63.21,63.67,64.11,64.91,65.83,66.08,66.74
18,9,1809,PESAWARAN,66.74,66.84,66.93,67.01,67.33,67.83,68.05,10.8,11.05,11.16,11.28,11.44,12.08,12.25,6.74,6.75,6.77,6.99,7.21,7.23,7.24,5 791,6 050,6 255,6 570,6 680,6 744,7 055,58.64,59.44,59.98,60.94,61.7,62.7,63.47
18,10,1810,PRINGSEWU,,67.5,67.6,67.69,68.01,68.61,68.88,,11.83,11.98,12.27,12.47,12.75,12.76,,7.39,7.45,7.51,7.53,7.83,7.84,,8 433,8 630,8 934,8 992,9 020,9 533,,64.86,65.37,66.14,66.58,67.55,68.26
18,11,1811,MESUJI,,66.44,66.57,66.7,67.05,67.15,67.32,,10.06,10.15,10.25,10.34,10.78,11.2,,5.62,5.63,5.65,5.8,6.12,6.13,,6 402,6 503,6 706,6 764,6 836,7 099,,57.32,57.67,58.16,58.71,59.79,60.72
18,12,1812,TULANG BAWANG BARAT,,68.5,68.58,68.66,68.98,69.08,69.21,,10.52,10.81,11.01,11.29,11.49,11.97,,6.35,6.42,6.48,6.81,6.82,6.83,,6 687,6 814,7 045,7 137,7 332,7 450,,60.13,60.77,61.46,62.46,63.01,63.77
18,13,1813,PESISIR BARAT,,,,61.37,61.74,62.04,62.29,,,,10.62,11.12,11.53,11.85,,,,7.35,7.36,7.47,7.48,,,,7 085,7 169,7 251,7 616,,,,58.95,59.76,60.55,61.5
18,71,1871,BANDAR LAMPUNG,70.21,70.23,70.24,70.26,70.55,70.65,70.75,12.2,12.6,13.05,13.22,13.31,13.35,13.67,9.56,9.95,10.16,10.77,10.85,10.87,10.88,10 209,10 282,10 429,10 618,10 702,11 090,11 266,71.11,72.04,72.88,73.93,74.34,74.81,75.34
18,72,1872,METRO,70.59,70.62,70.65,70.68,70.98,70.98,71.05,12.74,13.08,13.47,13.85,14.25,14.26,14.27,9.4,9.74,9.75,10.47,10.54,10.55,10.56,9 953,10 061,10 281,10 494,10 606,10 707,11 007,71.37,72.23,72.86,74.27,74.98,75.1,75.45
18,88,1888,DANAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
