PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
14,1,1401,KUANTAN SINGINGI,67.54,67.57,67.61,67.64,67.66,67.86,67.92,11.31,11.47,11.63,11.79,11.96,12.64,12.81,7.19,7.46,7.68,7.7,8.17,8.18,8.19,9 329,9 437,9 546,9 676,9 719,9 770,9 892,65.07,65.72,66.31,66.65,67.47,68.32,68.66
14,2,1402,INDRAGIRI HULU,69.51,69.53,69.6,69.63,69.64,69.74,69.79,10.8,11.2,11.25,11.29,11.51,11.92,12.24,7.2,7.31,7.38,7.46,7.55,7.82,7.83,9 043,9 270,9 636,9 656,9 726,9 776,10 068,65.1,65.93,66.5,66.68,67.11,68,68.67
14,3,1403,INDRAGIRI HILIR,66.26,66.3,66.43,66.5,66.54,66.84,66.95,10,10.49,10.49,10.5,10.67,11.38,11.58,6.54,6.66,6.7,6.74,6.81,6.82,6.94,9 168,9 269,9 370,9 680,9 738,9 787,9 911,61.98,62.82,63.04,63.44,63.8,64.8,65.35
14,4,1404,PELALAWAN,69.46,69.78,69.86,70.04,70.13,70.23,70.39,10.75,10.78,10.81,10.84,11.02,11.56,11.68,6.94,7.2,7.41,7.74,7.82,8.17,8.18,10 326,10 440,10 788,11 342,11 391,11 422,11 641,65.95,66.58,67.25,68.29,68.67,69.82,70.21
14,5,1405,S I A K,70.31,70.39,70.45,70.51,70.54,70.54,70.59,11.41,11.49,11.5,11.64,11.81,12.26,12.56,8.6,8.72,8.77,8.81,9.05,9.2,9.21,10 874,11 046,11 220,11 397,11 531,11 604,11 826,69.78,70.2,70.45,70.84,71.45,72.17,72.7
14,6,1406,KAMPAR,69.58,69.65,69.72,69.77,69.8,70,70.08,11.65,11.93,12.22,12.51,12.72,12.86,12.87,8.08,8.56,8.59,8.62,8.62,8.84,8.85,10 433,10 513,10 593,10 624,10 651,10 710,10 765,68.62,69.64,70.08,70.46,70.72,71.28,71.39
14,7,1407,ROKAN HULU,68.33,68.6,68.7,68.85,68.93,69.03,69.17,10.62,10.87,11.35,12.09,12.36,12.39,12.59,7.18,7.24,7.31,7.38,7.83,7.84,7.97,8 380,8 490,8 603,8 717,8 786,8 942,9 065,63.59,64.2,64.99,66.07,67.02,67.29,67.86
14,8,1408,BENGKALIS,70.32,70.36,70.38,70.38,70.38,70.58,70.63,12.12,12.16,12.19,12.22,12.35,12.39,12.72,8.14,8.34,8.64,8.76,8.8,8.82,8.83,10 172,10 300,10 429,10 598,10 661,10 965,11 325,69.29,69.72,70.26,70.6,70.84,71.29,71.98
14,9,1409,ROKAN HILIR,68.98,69.07,69.16,69.23,69.27,69.47,69.57,10.89,10.94,11,11.06,11.42,11.75,12.06,7.24,7.3,7.36,7.42,7.62,7.62,7.88,8 281,8 656,8 784,8 962,9 051,9 176,9 181,64.13,64.76,65.09,65.46,66.22,66.81,67.52
14,10,1410,KEPULAUAN MERANTI,66.06,66.17,66.29,66.38,66.42,66.72,66.85,11.17,11.53,11.89,12.23,12.34,12.41,12.74,6.12,6.27,6.8,7.33,7.44,7.45,7.46,6 818,6 849,6 863,6 876,6 945,7 030,7 194,59.71,60.38,61.49,62.53,62.91,63.25,63.9
14,71,1471,PEKANBARU,71.42,71.46,71.51,71.54,71.55,71.65,71.7,13.64,13.74,13.83,13.93,14.07,14.86,14.87,10.67,10.84,10.88,10.93,10.95,10.97,11.2,13 633,13 719,13 805,13 891,14 023,14 126,14 225,77.34,77.71,77.94,78.16,78.42,79.32,79.69
14,73,1473,D U M A I,69.93,69.95,70.02,70.04,70.05,70.25,70.31,11.67,11.87,12.07,12.27,12.4,12.46,12.75,9.36,9.42,9.48,9.54,9.56,9.57,9.58,9 593,10 162,10 499,10 735,10 870,11 058,11 531,69.55,70.43,71.07,71.59,71.86,72.2,72.96
