PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
12,1,1201,NIAS,68.45,68.58,68.69,68.77,68.87,68.97,69.07,10.2,10.35,10.75,11.15,11.45,11.77,12.09,4.59,4.63,4.67,4.71,4.75,4.76,4.92,5 236,5 505,5 710,5 914,5 980,6 234,6 409,54.72,55.55,56.5,57.43,57.98,58.85,59.75
12,2,1202,MANDAILING NATAL,60.6,60.77,60.95,61.08,61.18,61.58,61.77,11.2,11.36,11.78,12.21,12.57,12.77,12.78,7.27,7.39,7.47,7.52,7.54,7.63,7.89,8 425,8 829,8 871,8 960,9 040,9 096,9 237,60.76,61.6,62.26,62.91,63.42,63.99,64.55
12,3,1203,TAPANULI SELATAN,62.42,62.64,62.87,63.04,63.14,63.74,64.01,11.3,11.93,12.43,12.93,13.04,13.06,13.07,7.87,7.92,7.96,8.04,8.22,8.27,8.35,10 070,10 213,10 357,10 504,10 593,10 623,10 821,64.2,65.14,65.95,66.75,67.22,67.63,68.04
12,4,1204,TAPANULI TENGAH,66.43,66.45,66.46,66.47,66.49,66.59,66.62,11.48,11.71,11.8,11.89,12.21,12.4,12.45,7.36,7.41,7.45,7.5,7.55,8.02,8.03,8 796,9 222,9 324,9 382,9 489,9 555,9 694,64.39,65.16,65.43,65.64,66.16,67.06,67.27
12,5,1205,TAPANULI UTARA,66.76,66.91,67.05,67.15,67.25,67.55,67.71,12.33,12.58,12.83,13.09,13.14,13.19,13.61,8.54,8.6,8.79,9.04,9.05,9.31,9.32,10 299,10 740,10 786,10 850,10 964,11 079,11 242,68.43,69.24,69.83,70.5,70.7,71.32,71.96
12,6,1206,TOBA SAMOSIR,68.59,68.72,68.86,68.94,69.04,69.14,69.25,12.1,12.36,12.62,12.89,13.16,13.18,13.19,9.67,9.71,9.75,9.79,9.83,10.08,10.09,10 777,10 909,11 043,11 178,11 250,11 535,11 687,70.9,71.39,71.89,72.36,72.79,73.4,73.61
12,7,1207,LABUHAN BATU,69.16,69.19,69.22,69.24,69.26,69.36,69.4,10.71,11.32,11.72,12.17,12.56,12.57,12.58,8.17,8.32,8.46,8.6,8.68,8.75,8.78,9 762,9 909,10 058,10 210,10 325,10 356,10 559,66.88,67.88,68.64,69.45,70.06,70.23,70.5
12,8,1208,ASAHAN,66.85,66.98,67.1,67.17,67.27,67.37,67.47,10.95,11.36,11.43,11.51,12.15,12.49,12.52,7.57,7.71,7.8,7.89,7.98,8.32,8.33,9 532,9 652,9 773,9 895,9 988,10 067,10 288,65.06,65.87,66.23,66.58,67.51,68.4,68.71
12,9,1209,SIMALUNGUN,69.87,69.98,70.08,70.14,70.24,70.34,70.43,11.73,11.75,12.28,12.57,12.63,12.69,12.7,8.31,8.33,8.35,8.37,8.7,8.8,8.86,10 092,10 224,10 358,10 494,10 597,10 728,10 855,68.8,69.03,69.79,70.28,70.89,71.24,71.48
12,10,1210,DAIRI,66.92,67.09,67.26,67.38,67.48,67.78,67.95,11.34,11.37,11.4,11.43,12.05,12.8,12.84,8.29,8.41,8.54,8.58,8.59,8.69,8.7,9 040,9 461,9 520,9 580,9 642,9 708,10 190,65.91,66.62,66.95,67.15,67.91,69,69.61
12,11,1211,KARO,70.29,70.32,70.34,70.38,70.42,70.62,70.69,11.39,11.84,11.86,11.87,11.89,12.22,12.65,8.88,9.03,9.17,9.25,9.33,9.5,9.51,11 173,11 265,11 359,11 453,11 548,11 800,11 925,70.36,71.12,71.4,71.62,71.84,72.69,73.29
12,12,1212,DELI SERDANG,70.74,70.75,70.76,70.78,70.8,71,71.06,11.1,11.14,11.61,11.77,12.11,12.52,12.69,9.19,9.2,9.21,9.37,9.46,9.48,9.68,10 512,10 647,10 785,10 924,11 065,11 359,11 683,70.06,70.25,70.88,71.39,71.98,72.79,73.51
12,13,1213,LANGKAT,66.86,67,67.14,67.23,67.33,67.63,67.79,10.77,11.23,11.37,12.21,12.69,12.7,12.71,7.48,7.59,7.69,7.69,7.85,7.92,8.18,9 351,9 850,9 910,9 970,10 062,10 364,10 567,64.57,65.77,66.18,67.17,68,68.53,69.13
12,14,1214,NIAS SELATAN,66.82,66.91,67.01,67.06,67.16,67.66,67.83,11.08,11.11,11.14,11.17,11.48,11.96,11.97,3.35,3.75,3.8,4.28,4.64,4.64,4.65,5 840,6 026,6 213,6 266,6 329,6 454,6 647,54.54,55.5,55.97,56.78,57.78,58.74,59.14
12,15,1215,HUMBANG HASUNDUTAN,67.42,67.52,67.63,67.7,67.8,68.1,68.26,12.07,12.42,12.55,12.67,13.13,13.15,13.21,8.57,8.65,8.76,8.8,8.88,8.9,8.91,6 351,6 456,6 562,6 670,6 736,6 889,7 135,63.4,64.06,64.54,64.92,65.59,66.03,66.56
12,16,1216,PAKPAK BHARAT,64.35,64.37,64.39,64.42,64.45,64.85,64.95,12.34,12.75,13.17,13.76,13.78,13.8,13.81,7.45,7.77,8.08,8.25,8.39,8.45,8.46,6 810,7 189,7 205,7 269,7 364,7 496,7 641,61.76,63.11,63.88,64.73,65.06,65.53,65.81
12,17,1217,SAMOSIR,69.23,69.36,69.48,69.56,69.66,70.26,70.47,11.52,11.98,12.27,12.57,13.39,13.41,13.42,8.36,8.41,8.46,8.52,8.57,8.84,8.94,7 401,7 467,7 533,7 600,7 667,7 698,7 813,65.14,65.81,66.31,66.8,67.8,68.43,68.82
12,18,1218,SERDANG BEDAGAI,66.66,66.84,67.03,67.17,67.27,67.47,67.63,10.63,10.73,11.35,11.87,12.29,12.31,12.54,7.69,7.74,7.78,8.02,8.04,8.08,8.34,9 419,9 771,9 817,9 882,10 042,10 110,10 246,64.67,65.28,66.14,67.11,67.78,68.01,68.77
12,19,1219,BATU BARA,65.06,65.19,65.32,65.4,65.5,65.8,65.95,11.15,11.35,11.54,11.74,11.94,11.96,12.34,7.41,7.47,7.53,7.7,7.72,7.74,7.75,8 778,8 922,9 069,9 218,9 370,9 692,9 886,63.45,63.95,64.45,65.06,65.5,66.02,66.69
12,20,1220,PADANG LAWAS UTARA,66.31,66.33,66.36,66.38,66.4,66.5,66.54,10.79,11.14,11.38,11.62,11.84,11.87,12.3,8.37,8.39,8.4,8.41,8.44,8.91,8.92,8 264,8 751,8 887,9 076,9 171,9 363,9 600,64.25,65.22,65.65,66.13,66.5,67.35,68.05
12,21,1221,PADANG LAWAS,65.84,65.89,65.93,65.97,66.01,66.31,66.4,10.98,11.29,11.72,12.16,12.9,12.91,12.92,7.65,7.97,8.13,8.14,8.16,8.4,8.41,7 573,7 656,7 740,7 825,7 910,7 955,8 094,62.45,63.28,64.05,64.62,65.5,65.99,66.23
12,22,1222,LABUHAN BATU SELATAN,67.97,67.99,68.01,68.03,68.06,68.09,68.11,10.67,10.69,11.54,11.69,11.88,12.73,12.94,7.49,7.73,7.95,8.25,8.67,8.68,8.69,9 694,9 780,9 866,10 040,10 111,10 319,10 712,65.32,65.77,67.06,67.78,68.59,69.67,70.28
12,23,1223,LABUHAN BATU UTARA,68.17,68.27,68.36,68.4,68.5,68.7,68.8,10.97,11.08,11.19,11.3,11.8,12.12,12.54,7.44,7.75,7.92,8.1,8.27,8.31,8.33,10 814,10 896,10 979,11 063,11 147,11 201,11 278,66.72,67.37,67.84,68.28,69.15,69.69,70.26
12,24,1224,NIAS UTARA,,68.23,68.33,68.39,68.49,68.59,68.68,,11.55,11.65,11.76,11.86,12.4,12.41,,5.36,5.46,5.55,6.05,6.06,6.07,,5 411,5 442,5 523,5 580,5 627,5 770,,57.53,57.87,58.29,59.18,59.88,60.23
12,25,1225,NIAS BARAT,,67.31,67.44,67.54,67.64,67.94,68.1,,11.54,11.58,11.77,11.87,12.33,12.6,,4.78,5.18,5.25,5.73,5.74,5.77,,4 969,5 038,5 061,5 156,5 207,5 391,,55.43,56.2,56.58,57.54,58.25,59.03
12,71,1271,SIBOLGA,66.82,67,67.17,67.3,67.4,67.7,67.87,11.57,11.87,12.16,12.45,12.76,13.1,13.11,9.33,9.53,9.53,9.73,9.83,9.85,9.86,10 013,10 181,10 352,10 525,10 623,10 765,11 034,68.37,69.17,69.71,70.45,71.01,71.64,72
12,72,1272,TANJUNG BALAI,60.96,61.09,61.23,61.3,61.4,61.9,62.09,10.95,11.27,11.59,11.91,12.25,12.4,12.41,8.53,8.66,8.88,8.9,9.03,9.12,9.13,9 617,9 743,9 872,10 001,10 133,10 326,10 577,63.47,64.13,64.89,65.4,66.05,66.74,67.09
12,73,1273,PEMATANG SIANTAR,71.44,71.51,71.57,71.59,71.69,72.29,72.46,11.69,12.3,12.91,13.36,13.97,13.99,14,10.39,10.43,10.62,10.62,10.7,10.73,10.75,10 571,10 987,11 039,11 139,11 204,11 388,11 878,72.52,73.61,74.51,75.05,75.83,76.34,76.9
12,74,1274,TEBING TINGGI,69.8,69.87,69.92,69.94,70.04,70.14,70.21,11.49,11.63,11.76,11.9,12.04,12.23,12.65,9.5,9.69,9.86,10.04,10.05,10.06,10.07,10 055,10 540,10 666,10 829,10 918,11 393,11 747,69.96,70.84,71.34,71.85,72.13,72.81,73.58
